ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount,adj_factor,open_qfq,high_qfq,low_qfq,close_qfq
511090.SH,20241029,113.765,113.64,114.351,113.453,114.303,0.538,0.4729,315972.03,3600420.505,1.04,110.868,111.562,110.686,111.515
511090.SH,20241030,114.303,114.325,114.629,114.2,114.49,0.187,0.1636,291246.0,3333116.863,1.04,111.537,111.833,111.415,111.698
511090.SH,20241031,114.49,114.454,114.611,114.261,114.604,0.114,0.0996,284692.44,3257707.404,1.04,111.662,111.816,111.474,111.809
511090.SH,20241101,114.604,114.783,115.288,114.631,115.258,0.654,0.5707,349458.0,4021113.617,1.04,111.983,112.476,111.835,112.447
511090.SH,20241104,115.258,115.23,115.534,115.126,115.257,-0.001,-0.0009,285724.1,3295517.019,1.04,112.42,112.716,112.318,112.446
511090.SH,20241105,115.257,115.38,115.528,115.12,115.453,0.196,0.1701,352756.02,4068497.761,1.04,112.566,112.71,112.312,112.637
511090.SH,20241106,115.453,115.555,116.0,115.465,115.669,0.216,0.1871,354643.4,4104332.676,1.04,112.737,113.171,112.649,112.848
511090.SH,20241107,115.669,115.68,115.775,115.49,115.511,-0.158,-0.1366,257263.8,2974039.831,1.04,112.859,112.951,112.673,112.694
511090.SH,20241108,115.511,115.417,115.956,115.388,115.847,0.336,0.2909,332822.8,3851281.024,1.04,112.602,113.128,112.574,113.021
511090.SH,20241111,115.847,115.81,116.023,115.806,115.881,0.034,0.0293,243353.1,2820529.044,1.04,112.985,113.193,112.981,113.055
511090.SH,20241112,115.881,115.988,116.558,115.976,116.526,0.645,0.5566,313483.4,3646332.351,1.04,113.159,113.715,113.147,113.684
511090.SH,20241113,116.526,116.608,116.745,116.384,116.544,0.018,0.0154,339634.0,3959537.291,1.04,113.764,113.898,113.545,113.701
511090.SH,20241114,116.544,116.438,116.521,115.93,116.024,-0.52,-0.4462,324435.88,3769042.146,1.04,113.598,113.679,113.102,113.194
511090.SH,20241115,116.024,116.023,116.281,115.91,115.928,-0.096,-0.0827,265973.12,3086848.63,1.04,113.193,113.445,113.083,113.1
